 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,174351330,151827,792803,198085,306008,417621,80848,106935,232133,557749,73236,137483,257031,123911,197247,655897,262858,81790,217510,194442,149454
aeroplane,152739,1764568,0,0,5069,0,0,0,0,0,0,0,0,0,237,1194,0,0,0,6,0
bicycle,88432,0,699592,0,0,0,0,1321,0,110,0,0,0,0,3716,19666,0,0,0,0,0
bird,129310,0,13,1989984,42,129,58,0,4301,0,1440,0,11386,0,0,9001,0,6221,0,0,0
boat,282935,715,0,199,1026569,3397,0,1785,0,0,0,0,0,0,0,10511,7126,0,0,15416,0
bottle,164041,7,1619,0,0,1701458,635,2868,23,0,0,10284,0,0,0,40371,0,0,471,0,0
bus,152726,845,0,0,0,0,4146510,10904,0,0,0,0,0,0,0,9767,0,0,0,0,0
car,298058,533,7054,0,4253,4245,17047,3243440,0,0,0,0,624,0,12091,4805,0,0,0,1304,0
cat,143810,0,0,71499,0,1673,0,0,5295366,5577,0,609,102903,0,0,22357,0,76269,888,0,0
chair,693953,0,121,0,0,0,2203,339,4144,1131637,0,46811,6318,0,510,49752,3223,0,174332,632,218
cow,156093,0,0,0,0,0,0,15256,3922,0,2570026,0,112807,65248,57,5873,0,37410,0,0,152
diningtable,1153829,0,0,0,0,8203,0,0,111,80289,0,1550386,608,0,0,44838,1630,0,5900,0,18956
dog,310951,0,0,5110,0,0,0,1117,102057,1685,10107,0,4545747,25218,2818,27502,0,700,1377,0,0
horse,193685,0,0,30,0,0,0,0,247,0,82741,0,916,2324517,0,16371,0,23430,0,0,0
motorbike,98744,0,9767,0,0,0,0,73099,0,31486,0,0,0,0,2324162,50182,0,0,0,0,0
person,1206104,4952,32815,4508,2225,18943,11899,22120,3353,67744,46471,15876,123974,62836,77640,11246858,1442,2858,39244,5693,2068
pottedplant,360319,0,1147,1140,0,0,0,0,213,1619,0,482,0,0,0,150,868681,0,811,0,0
sheep,131667,0,0,0,0,0,0,0,93,0,17133,0,41972,2646,185,767,0,1738238,0,104,0
sofa,1177636,3729,0,0,0,0,0,0,5027,494483,0,4501,5885,0,0,74542,1038,0,1711983,0,411
train,420896,0,0,0,0,0,3684,0,0,0,0,0,0,0,0,845,0,0,0,3493580,0
tvmonitor,445509,0,0,0,0,0,0,0,0,4801,0,0,0,0,0,1521,0,0,0,0,1319923
